,NCBI GeneID,Gene symbol,avg. control,avg. Nosema,avg. BQCV,avg. both,log(FC) Nosema,log(FC) BQCV,log(FC) both,norm. log(FC) Nosema,norm. log(FC) BQCV,norm. log(FC) both
1456,552543,unnamed,0.6666666666666666,2.6666666666666665,0.0,1.0,1.3862946111198593,-13.815510557964274,0.40546577477460877,0.6444749134827275,-1.0,0.5816747086743492
1608,551656,LOC551656,0.3333333333333333,0.0,0.6666666666666666,0.0,-13.815510557964274,0.6931476805598203,-13.815510557964274,-1.0,0.677021800665004,-1.0
1635,412969,LOC412969,0.6666666666666666,0.3333333333333333,0.0,0.5,-0.6931451805619453,-13.815510557964274,-0.28768073911933645,0.4195288275749247,-1.0,0.5045820896600051
1712,725457,LOC725457,0.6666666666666666,0.0,0.6666666666666666,0.0,-13.815510557964274,9.999994999180668e-07,-13.815510557964274,-1.0,0.5969026004434619,-1.0
1896,100578471,unnamed,0.6666666666666666,0.3333333333333333,0.0,0.0,-0.6931451805619453,-13.815510557964274,-13.815510557964274,0.4195288275749247,-1.0,-1.0
1990,100576909,unnamed,1.0,0.6666666666666666,0.0,0.5,-0.4054636081092894,-13.815510557964274,-0.6931451805619453,0.4506491533328003,-1.0,0.4594858292281425
2126,100577219,unnamed,0.3333333333333333,0.0,0.0,0.0,-13.815510557964274,-13.815510557964274,-13.815510557964274,-1.0,-1.0,-1.0
2154,100577183,unnamed,0.3333333333333333,1.3333333333333333,0.0,0.0,1.3862946111198593,-13.815510557964274,-13.815510557964274,0.6444749134827275,-1.0,-1.0
2195,100577584,LOC100577584,0.3333333333333333,0.3333333333333333,0.0,0.0,9.999994999180668e-07,-13.815510557964274,-13.815510557964274,0.4945108111374954,-1.0,-1.0
2249,725327,LOC725327,0.3333333333333333,0.3333333333333333,0.0,0.0,9.999994999180668e-07,-13.815510557964274,-13.815510557964274,0.4945108111374954,-1.0,-1.0
2303,100579013,unnamed,0.3333333333333333,0.0,0.0,0.0,-13.815510557964274,-13.815510557964274,-13.815510557964274,-1.0,-1.0,-1.0
2427,100578265,LOC100578265,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6931476805598203,9.999994999180668e-07,-13.815510557964274,0.5694928487880899,0.5969026004434619,-1.0
2430,100577305,unnamed,1.3333333333333333,0.0,0.3333333333333333,0.0,-13.815510557964274,-1.3862903611278907,-13.815510557964274,-1.0,0.43666443117490994,-1.0
2590,100576628,unnamed,1.3333333333333333,2.6666666666666665,0.6666666666666666,0.0,0.6931476805598203,-0.6931451805619453,-13.815510557964274,0.5694928487880899,0.5167834580156179,-1.0
2610,410559,LOC410559,0.3333333333333333,0.0,0.0,0.5,-13.815510557964274,-13.815510557964274,0.40546577477460877,-1.0,-1.0,0.5816747086743492
2658,100577381,LOC100577381,0.3333333333333333,0.6666666666666666,1.0,0.0,0.6931476805598203,1.0986126220013874,-13.815510557964274,0.5694928487880899,0.7238885429249717,-1.0
